Enrollmentno,choice1,choice2,choice3,choice4,choice5,choice6,choice7,choice8,choice9,choice10
E9260,C6073-IT,C9590-CSE,C7748-ME,C5588-ME,C6416-ME,C5583-EC,C9590-ME,C8852-ICT,C4000-ICT,C2996-CH
E9625,C2165-IT,C5302-CSE,C6706-IT,C6792-ME,C3971-EC,C3397-EC,C9590-EC,C3799-IC,C9038-CH,C8403-EE
E5347,C2996-IT,C9846-IT,C3305-IT,C8403-EC,C8198-ME,C1648-EC,C2002-EC,C5602-EE,C9557-CH,C2921-IC
E8051,C6698-ME,C8403-IT,C4695-CSE,C3397-ME,C3998-EC,C1899-ME,C2511-ME,C8203-CH,C2996-CH,C3397-EE
E3259,C4922-IT,C8200-CSE,C9416-ME,C8743-EC,C2642-EC,C4695-ME,C3305-ME,C6416-EE,C2642-EE,C8743-CH
E9086,C6698-ME,C3232-CSE,C9143-ME,C4922-ME,C4922-ME,C2642-ME,C7466-ME,C8203-IC,C4650-EE,C2051-ICT
E8975,C3998-ME,C7128-CSE,C9356-ME,C4953-ME,C2165-ME,C2642-EC,C6679-ME,C5848-ICT,C5989-IC,C1899-IC
E5549,C2062-ME,C2062-IT,C2165-ME,C5848-EC,C2511-ME,C9356-ME,C6792-ME,C1899-EE,C8852-EE,C9739-IC
E1080,C9120-ME,C7343-CSE,C4083-IT,C2002-ME,C2642-ME,C2342-EC,C2996-ME,C1282-ICT,C4922-IC,C5717-IC
E0849,C9038-CSE,C5717-CSE,C8198-ME,C9416-EC,C2511-ME,C5019-EC,C9080-ME,C7951-EE,C5717-IC,C5019-IC
E3486,C8200-CSE,C8426-IT,C1674-CSE,C9356-EC,C9590-EC,C2558-EC,C6706-EC,C2642-CH,C9143-CH,C4000-CH
E2544,C8772-IT,C4922-CSE,C8198-ME,C3799-EC,C2558-EC,C3971-ME,C9356-ME,C9277-EE,C9739-CH,C9080-ICT
E5868,C2458-CSE,C9896-ME,C2558-IT,C1282-ME,C5848-ME,C2342-EC,C8426-ME,C2458-IC,C5019-EE,C8198-IC
E5065,C7937-CSE,C5588-ME,C8852-CSE,C4852-ME,C6525-ME,C6679-EC,C5049-ME,C7128-ICT,C9356-ICT,C8405-IC
E8594,C7343-CSE,C4650-IT,C8772-CSE,C7343-EC,C7937-ME,C9896-EC,C9896-ME,C7343-EE,C9590-CH,C9143-CH
E8696,C9590-CSE,C9670-CSE,C9277-ME,C5532-ME,C2996-ME,C9751-ME,C7748-EC,C2547-ICT,C9225-CH,C2558-ICT
E6680,C8743-ME,C7134-ME,C4650-ME,C2458-EC,C9143-EC,C7466-ME,C9896-ME,C7748-ICT,C1282-EE,C4070-IC
E9621,C9846-ME,C7951-ME,C1961-ME,C5132-EC,C8426-EC,C9038-EC,C2165-EC,C7128-ICT,C9416-ICT,C7951-ICT
E5506,C9080-ME,C6301-IT,C1745-ME,C1902-EC,C9590-ME,C4695-ME,C6679-ME,C8203-ICT,C7134-ICT,C9769-CH
E3359,C6706-ME,C4852-IT,C6792-ME,C2051-ME,C2062-EC,C9670-EC,C8405-ME,C5588-CH,C5724-CH,C8813-IC
E5471,C9739-CSE,C4000-IT,C9416-CSE,C7198-ME,C7343-ME,C2996-EC,C5583-EC,C7951-EE,C8200-CH,C8813-CH
E6868,C9356-ME,C3998-IT,C6698-ME,C7466-ME,C1899-ME,C7343-ME,C1961-ME,C1282-ICT,C5479-IC,C4566-EE
E4340,C5588-IT,C3305-IT,C3232-EC,C3998-EC,C2547-ME,C9739-ME,C6698-ME,C7748-ICT,C8813-ICT,C8772-EE
E7492,C7466-ME,C5532-CSE,C3971-CSE,C2062-EC,C8772-EC,C9356-ME,C9590-ME,C6301-CH,C5724-CH,C5479-ICT
E4407,C7937-CSE,C6301-CSE,C2051-ME,C8426-EC,C1648-EC,C8611-ME,C4885-EC,C2921-CH,C7951-CH,C5132-IC
E0958,C4083-ME,C8200-CSE,C3998-EC,C1961-ME,C4070-ME,C8611-ME,C7128-EC,C7134-CH,C4852-IC,C9225-EE
E6307,C9739-ME,C2547-ME,C9670-ME,C5049-ME,C2511-EC,C1902-ME,C2165-ME,C3900-ICT,C8743-ICT,C8813-CH
E6048,C6698-IT,C9896-CSE,C7151-IT,C2642-ME,C6679-EC,C3900-EC,C8772-EC,C8405-ICT,C9670-IC,C6416-ICT
E1538,C4885-CSE,C7343-CSE,C9769-ME,C7951-ME,C3973-ME,C5532-ME,C5989-ME,C9277-EE,C5479-IC,C2062-ICT
E0850,C9739-CSE,C2002-ME,C4083-ME,C4922-ME,C9751-ME,C6073-EC,C3971-EC,C5479-CH,C5724-ICT,C8772-EE
E1913,C3397-ME,C7748-IT,C8203-CSE,C5207-EC,C9120-ME,C3998-EC,C9080-ME,C8772-IC,C9416-IC,C5207-IC
E2608,C5588-CSE,C7134-ME,C9769-CSE,C4515-EC,C3305-ME,C8743-EC,C7748-ME,C7151-CH,C9225-ICT,C7466-ICT
E1433,C1745-IT,C3305-CSE,C8611-IT,C3305-EC,C5132-EC,C3305-ME,C8198-ME,C8426-IC,C9120-CH,C5724-EE
E7735,C5132-IT,C9416-ME,C3305-ME,C8743-ME,C4922-ME,C9277-EC,C5207-EC,C8203-IC,C2642-ICT,C7128-CH
E6389,C9739-IT,C2996-CSE,C5049-ME,C4515-EC,C9670-EC,C7906-ME,C3900-ME,C6525-EE,C9670-IC,C6073-EE
E5176,C6416-ME,C8405-IT,C2558-IT,C1899-ME,C3305-ME,C1282-ME,C2558-ME,C9277-EE,C4922-EE,C5019-ICT
E0127,C5588-ME,C5019-IT,C2642-ME,C5019-EC,C4650-ME,C9751-ME,C2558-EC,C9670-EE,C7198-EE,C7906-CH
E0491,C5602-IT,C1282-ME,C5049-ME,C2342-EC,C9846-ME,C5602-ME,C9038-EC,C6525-ICT,C8852-CH,C9557-IC
E6184,C6679-IT,C9670-CSE,C3998-ME,C1902-ME,C3971-ME,C2642-ME,C9120-ME,C8852-IC,C8200-CH,C9356-ICT
E3785,C8426-IT,C3973-ME,C4922-CSE,C9590-ME,C2051-EC,C5989-ME,C1648-ME,C9277-CH,C8203-ICT,C8743-IC
E0605,C7343-ME,C5207-CSE,C4695-ME,C7951-ME,C7951-ME,C4083-ME,C2547-ME,C9670-IC,C9416-ICT,C2921-ICT
E3655,C9557-ME,C7937-ME,C4650-IT,C6698-ME,C6698-ME,C7937-ME,C6792-ME,C8743-EE,C6679-CH,C4852-CH
E9720,C5132-IT,C9356-IT,C2547-CSE,C9751-EC,C6679-EC,C8813-EC,C8611-ME,C6792-IC,C5989-IC,C2511-IC
E5516,C7937-ME,C4922-ME,C2511-ME,C4922-ME,C6525-EC,C7151-EC,C2000-ME,C2547-CH,C8743-IC,C2642-IC
E4134,C9739-CSE,C7151-CSE,C4852-ME,C4070-ME,C9896-EC,C6679-EC,C3998-ME,C6301-ICT,C9120-EE,C3305-ICT
E5169,C5588-CSE,C9277-IT,C3305-EC,C8743-EC,C8405-EC,C6698-ME,C4515-EC,C7748-IC,C1282-IC,C6706-EE
E9077,C7128-ME,C3305-CSE,C3900-EC,C1902-EC,C2558-EC,C7466-EC,C4566-ME,C4650-ICT,C5989-EE,C3971-ICT
E9522,C1674-CSE,C6301-IT,C5602-IT,C7937-ME,C6073-EC,C9846-ME,C5207-ME,C7479-EE,C6525-EE,C5989-IC
E5798,C1899-IT,C3397-IT,C9416-ME,C2002-EC,C4515-EC,C3305-EC,C6706-EC,C4695-ICT,C5302-ICT,C6679-ICT
E1445,C2996-ME,C6679-ME,C5583-ME,C4566-ME,C5989-ME,C2511-ME,C4852-ME,C8852-CH,C1648-CH,C8426-IC
E7315,C5602-IT,C9670-IT,C6301-ME,C9896-ME,C2002-EC,C4083-EC,C2002-EC,C1961-CH,C8198-IC,C2996-IC
E5808,C9080-CSE,C9356-ME,C7466-CSE,C8200-EC,C7748-ME,C8405-EC,C6792-EC,C7906-IC,C3397-EE,C2051-EE
E2742,C8813-CSE,C2002-ME,C9416-CSE,C2051-EC,C7198-ME,C6706-ME,C5302-ME,C1674-CH,C7134-IC,C7937-CH
E2982,C2165-ME,C7134-CSE,C7748-EC,C2921-EC,C2062-EC,C5989-ME,C4566-ME,C8203-CH,C5049-CH,C8743-ICT
E6482,C9896-CSE,C8200-CSE,C9277-ME,C9670-EC,C6073-EC,C2165-EC,C6698-ME,C3900-IC,C6525-ICT,C2996-CH
E8647,C4922-CSE,C9557-IT,C2558-ME,C8743-ME,C7343-EC,C2000-ME,C5588-ME,C8813-CH,C2547-CH,C5207-EE
E2701,C6679-IT,C9590-ME,C2051-CSE,C7906-ME,C3397-ME,C2511-EC,C4070-ME,C1961-CH,C3900-ICT,C5602-ICT
E3160,C7128-IT,C3900-CSE,C7466-EC,C9557-ME,C1961-ME,C8426-ME,C4922-ME,C2458-ICT,C1902-IC,C9120-ICT
E0837,C3799-CSE,C6706-ME,C2558-IT,C4083-EC,C6792-EC,C7151-ME,C5588-ME,C8198-EE,C2342-IC,C9356-EE
E0980,C9356-ME,C5848-ME,C6792-EC,C8203-ME,C8426-EC,C8405-EC,C2511-ME,C4566-ICT,C3397-IC,C3232-CH
E5555,C4922-IT,C1282-CSE,C5207-CSE,C8813-EC,C5207-EC,C5019-ME,C7937-ME,C8198-EE,C2002-EE,C2547-CH
E8250,C7906-CSE,C6301-ME,C2921-EC,C4922-ME,C4953-EC,C9557-ME,C8200-EC,C2996-CH,C7951-ICT,C1648-CH
E9737,C2921-ME,C9143-ME,C2642-ME,C8403-EC,C8772-ME,C4953-EC,C9590-EC,C3998-EE,C7134-IC,C5583-IC
E1970,C8405-IT,C3232-CSE,C5207-ME,C7479-EC,C8772-EC,C5049-ME,C1282-ME,C9038-EE,C3232-EE,C5019-CH
E5027,C5302-ME,C6679-ME,C9590-ME,C9739-ME,C3900-EC,C3998-EC,C2062-ME,C6706-CH,C1745-ICT,C2547-EE
E6282,C5049-IT,C2458-CSE,C5583-CSE,C4070-ME,C5989-EC,C8198-ME,C8203-EC,C5717-ICT,C4083-ICT,C2996-IC
E1515,C5602-IT,C6698-ME,C5583-CSE,C2062-EC,C4566-ME,C2558-EC,C2996-ME,C5588-EE,C3998-IC,C3799-IC
E9563,C2558-IT,C4885-CSE,C7937-ME,C2642-EC,C6073-ME,C9751-ME,C2051-EC,C8198-CH,C6525-IC,C8813-IC
E9503,C8813-CSE,C6698-ME,C9143-CSE,C6706-EC,C3232-ME,C7071-ME,C7906-ME,C5302-IC,C5132-IC,C7951-ICT
E0727,C2062-IT,C4922-CSE,C4650-ME,C7128-EC,C8772-ME,C9751-ME,C3998-EC,C7479-CH,C7134-CH,C7466-CH
E2927,C5588-IT,C6698-ME,C2642-ME,C3232-EC,C7466-ME,C5989-ME,C2051-ME,C6525-EE,C8198-CH,C9416-ICT
E3222,C1648-CSE,C9557-ME,C9846-ME,C2062-ME,C2062-EC,C4083-EC,C2921-EC,C5532-CH,C2511-EE,C1674-ICT
E5294,C9557-CSE,C8198-CSE,C9769-ME,C8403-EC,C4650-EC,C2996-ME,C1745-EC,C6416-EE,C7937-CH,C6679-CH
E5472,C5019-IT,C5302-IT,C5207-ME,C7151-EC,C6698-ME,C9896-EC,C8743-EC,C4070-IC,C9739-CH,C4695-CH
E4252,C7134-CSE,C4852-IT,C2558-IT,C9670-EC,C7128-ME,C6706-EC,C9896-EC,C7466-IC,C8426-IC,C7071-EE
E6581,C6698-IT,C5302-ME,C3998-ME,C2558-EC,C3900-EC,C6679-EC,C9769-ME,C8198-CH,C5049-ICT,C6792-IC
E3979,C4650-IT,C5602-ME,C5602-ME,C4953-ME,C3305-EC,C7748-EC,C2165-ME,C9225-CH,C2062-ICT,C2558-ICT
E7645,C5019-CSE,C2165-CSE,C9277-ME,C6706-ME,C6706-ME,C1745-EC,C7906-ME,C8426-EE,C9896-IC,C4922-EE
E1207,C3799-CSE,C6525-CSE,C5019-IT,C8203-EC,C5989-ME,C5848-EC,C7343-ME,C4515-CH,C5049-EE,C2458-CH
E5925,C2000-CSE,C4083-ME,C5207-ME,C8198-EC,C9739-ME,C2547-ME,C4852-ME,C6706-EE,C3971-ICT,C9739-ICT
E0336,C8203-IT,C5207-IT,C6698-ME,C8743-ME,C3998-EC,C5583-ME,C2921-ME,C7128-IC,C6416-ICT,C1648-EE
E4799,C8772-ME,C4922-IT,C2558-ME,C7343-EC,C5602-EC,C1902-ME,C5207-ME,C8611-CH,C9896-EE,C6073-IC
E4491,C2062-CSE,C9277-ME,C3973-CSE,C6792-ME,C5989-EC,C7466-EC,C5207-EC,C1674-IC,C3998-IC,C2547-EE
E3605,C9080-CSE,C9769-ME,C1899-EC,C7906-ME,C9751-ME,C3998-ME,C3397-ME,C8813-EE,C8426-IC,C6698-CH
E6953,C1745-IT,C7466-ME,C4566-ME,C2342-EC,C2002-EC,C9416-EC,C8743-ME,C7466-ICT,C1902-CH,C4000-IC
E4228,C9670-ME,C4695-ME,C9277-IT,C8200-ME,C5532-ME,C3900-EC,C6073-ME,C5717-IC,C8743-CH,C5532-CH
E1852,C4953-ME,C2002-CSE,C2558-IT,C3305-ME,C7134-ME,C8203-ME,C3799-EC,C9416-CH,C6792-IC,C5049-IC
E3145,C2996-ME,C3971-CSE,C8200-ME,C7343-ME,C9277-ME,C2558-EC,C5207-ME,C4000-IC,C2458-ICT,C4515-CH
E3094,C7128-IT,C3998-ME,C4000-EC,C1899-EC,C3397-EC,C5583-ME,C9670-EC,C6706-EE,C4852-CH,C2062-IC
E8540,C5588-CSE,C6073-ME,C1648-IT,C9751-EC,C3397-EC,C8200-ME,C3900-EC,C2642-ICT,C8198-EE,C4922-ICT
E5986,C5479-CSE,C2511-IT,C1961-IT,C4083-EC,C5848-ME,C5302-EC,C7466-ME,C9670-IC,C2996-CH,C5302-ICT
E0815,C8743-IT,C2062-IT,C5989-IT,C6679-EC,C5602-EC,C1745-EC,C2511-EC,C6416-EE,C8403-CH,C4515-EE
E6128,C4922-ME,C6679-IT,C5019-CSE,C3900-EC,C8772-ME,C9896-EC,C4000-EC,C3799-IC,C6416-ICT,C4566-EE
E7706,C5302-CSE,C4566-ME,C7151-ME,C2558-ME,C5532-ME,C1899-ME,C4650-EC,C5532-ICT,C9896-IC,C8403-EE
E4206,C8405-CSE,C1648-IT,C3971-EC,C8743-ME,C8743-EC,C3397-ME,C5989-EC,C1899-CH,C6792-ICT,C2165-CH
E9281,C2921-CSE,C7951-IT,C9769-ME,C8198-EC,C7198-ME,C2547-ME,C5602-EC,C6416-CH,C4852-IC,C6706-IC
E2710,C3397-CSE,C9557-IT,C5207-ME,C7128-EC,C3799-EC,C3998-ME,C6073-ME,C9120-EE,C9120-EE,C9143-ICT
E0368,C6301-IT,C6792-ME,C7479-ME,C2051-EC,C5302-EC,C4650-ME,C7151-EC,C5207-IC,C5717-CH,C3232-CH
E5803,C5588-CSE,C7906-CSE,C5019-EC,C7937-EC,C7466-EC,C9769-ME,C4885-EC,C9120-ICT,C9038-CH,C3973-CH
E7627,C5019-ME,C4922-IT,C9277-ME,C8772-ME,C1899-EC,C4650-ME,C3973-ME,C9143-EE,C8743-ICT,C2921-IC
E3460,C4566-CSE,C4953-CSE,C8403-CSE,C4852-ME,C9846-ME,C1961-EC,C2051-EC,C2051-IC,C8405-ICT,C2558-ICT
E1799,C2062-CSE,C1282-CSE,C8426-IT,C4953-EC,C6706-ME,C9590-EC,C8203-ME,C5602-ICT,C2547-CH,C7343-ICT
E1706,C1282-ME,C5848-ME,C9557-CSE,C7151-ME,C7748-ME,C2996-EC,C3998-EC,C8405-IC,C5532-CH,C6525-ICT
E2668,C6679-IT,C7198-CSE,C1961-EC,C5049-ME,C2511-EC,C3397-ME,C1902-ME,C9416-EE,C5132-ICT,C6525-CH
E3782,C9038-CSE,C3397-CSE,C2342-IT,C7479-EC,C4515-EC,C4695-ME,C9739-ME,C2062-ICT,C9896-CH,C7134-CH
E2549,C6301-ME,C9769-CSE,C8200-EC,C2511-ME,C3973-ME,C6416-ME,C4885-EC,C2921-ICT,C3397-IC,C4566-ICT
E7691,C8772-IT,C5848-IT,C5583-ME,C9416-ME,C6301-ME,C3973-ME,C7466-EC,C9225-IC,C1902-ICT,C8200-ICT
E6099,C5207-ME,C2002-CSE,C9143-CSE,C9846-ME,C8405-ME,C2062-ME,C7906-ME,C9769-ICT,C4650-EE,C4566-CH
E5662,C9846-CSE,C4852-ME,C7479-IT,C9143-ME,C5588-ME,C9846-ME,C6706-EC,C2051-IC,C4515-EE,C6073-EE
E7317,C1282-CSE,C8743-IT,C3998-CSE,C3971-ME,C2558-EC,C3397-EC,C9739-ME,C4922-EE,C4922-ICT,C8813-ICT
E3030,C8743-ME,C7937-ME,C2511-ME,C8743-ME,C4070-EC,C1745-EC,C2558-ME,C2996-ICT,C6416-ICT,C9356-CH
E2583,C9846-CSE,C7151-IT,C4070-CSE,C5583-ME,C5848-ME,C5588-EC,C7151-ME,C6698-CH,C5207-IC,C9416-ICT
E3321,C7937-ME,C6706-ME,C3973-ME,C8198-EC,C3305-ME,C9038-EC,C8203-ME,C7951-EE,C1674-ICT,C9846-ICT
E2338,C7479-CSE,C7748-ME,C4852-CSE,C7748-ME,C8198-EC,C3900-ME,C5602-ME,C7748-IC,C1902-ICT,C1674-IC
E5095,C5583-ME,C6698-CSE,C7951-IT,C8200-EC,C8203-EC,C9670-EC,C5302-ME,C5302-IC,C5583-EE,C2051-IC
E6369,C3232-CSE,C7071-CSE,C3971-IT,C9416-EC,C5019-EC,C9769-EC,C2000-ME,C9670-ICT,C2002-CH,C5532-CH
E0073,C3973-ME,C9225-IT,C2996-ME,C7151-ME,C5588-ME,C9670-EC,C2511-EC,C8203-CH,C5302-CH,C9769-ICT
E3065,C5848-IT,C8611-CSE,C6679-ME,C8743-ME,C8200-EC,C7151-EC,C3973-ME,C6706-CH,C8611-CH,C4885-ICT
E4124,C6698-CSE,C8611-IT,C8611-IT,C6525-ME,C4070-ME,C3232-ME,C7466-EC,C5019-IC,C9769-IC,C8743-ICT
E5403,C1674-CSE,C4922-IT,C7748-EC,C5049-ME,C6679-EC,C8203-ME,C9277-ME,C9080-ICT,C4650-ICT,C9080-EE
E3828,C3397-ME,C2921-ME,C2458-CSE,C3900-EC,C2165-ME,C3900-EC,C6706-ME,C9356-CH,C5989-EE,C8203-ICT
E9598,C7343-IT,C5583-ME,C9416-ME,C6525-EC,C8200-EC,C6706-EC,C3973-ME,C8611-ICT,C8426-ICT,C8743-EE
E2548,C9277-CSE,C2000-CSE,C9670-ME,C3971-ME,C4070-EC,C8813-EC,C6525-EC,C8405-IC,C9416-CH,C2062-EE
E5919,C4515-IT,C7071-CSE,C2558-IT,C7151-EC,C1745-ME,C9143-ME,C4885-EC,C5479-IC,C8813-ICT,C9896-IC
E2816,C7479-ME,C5588-IT,C3900-CSE,C8426-EC,C3799-EC,C2002-EC,C5602-EC,C1902-EE,C8743-CH,C6679-CH
E7171,C2921-IT,C9769-ME,C8426-ME,C8200-ME,C4953-ME,C2558-EC,C8813-EC,C5989-ICT,C6301-CH,C5302-EE
E1305,C8198-ME,C8611-IT,C7151-CSE,C5848-ME,C7198-ME,C7906-ME,C6416-ME,C7937-EE,C2558-ICT,C5302-EE
E3146,C7748-CSE,C2642-IT,C3232-EC,C5848-EC,C8403-EC,C4885-EC,C6416-ME,C8203-CH,C4515-EE,C2342-ICT
E4128,C1899-CSE,C9416-CSE,C4695-CSE,C3397-EC,C5532-ME,C9416-EC,C7134-ME,C8426-ICT,C3305-ICT,C5602-ICT
E6807,C5989-CSE,C9143-CSE,C7343-EC,C5989-ME,C5302-EC,C5989-EC,C8403-EC,C8813-EE,C8200-ICT,C5602-EE
E4127,C7937-ME,C9143-CSE,C9846-CSE,C6706-ME,C2342-EC,C9225-ME,C5049-ME,C5717-ICT,C9769-IC,C9896-EE
E6699,C9739-ME,C9143-ME,C4650-EC,C1899-EC,C5302-ME,C1961-ME,C2051-EC,C4000-IC,C6416-ICT,C8611-EE
E0713,C4000-IT,C8203-IT,C9277-EC,C9080-EC,C1902-EC,C9846-ME,C8200-EC,C8403-CH,C9143-CH,C2458-CH
E0071,C2002-IT,C9590-ME,C6698-ME,C1745-EC,C6073-ME,C6792-EC,C1902-ME,C9143-ICT,C9143-CH,C2458-CH
E7667,C5989-ME,C8743-IT,C1648-IT,C7198-ME,C4695-ME,C7343-ME,C5588-ME,C5532-IC,C6706-IC,C6073-EE
E4715,C8405-IT,C6679-IT,C3998-IT,C8743-EC,C8611-ME,C6792-EC,C4070-ME,C8200-CH,C9739-IC,C1902-ICT
E9493,C9080-CSE,C5132-IT,C8403-CSE,C9670-ME,C8772-ME,C5848-EC,C6792-ME,C4000-CH,C2642-CH,C9846-ICT
E4493,C5049-CSE,C8200-CSE,C8405-ME,C1745-ME,C2511-EC,C5049-ME,C2051-ME,C8426-IC,C2165-CH,C6792-ICT
E2019,C9356-ME,C5532-ME,C2547-CSE,C4922-EC,C1648-EC,C5602-EC,C5602-EC,C3900-EE,C8743-CH,C5132-IC
E5386,C9751-ME,C3799-CSE,C4953-ME,C9225-ME,C8405-ME,C4953-EC,C9080-ME,C3397-ICT,C8405-ICT,C2458-ICT
E3312,C9590-CSE,C8203-IT,C9080-IT,C8426-EC,C2165-EC,C5989-EC,C9751-EC,C6525-CH,C6525-ICT,C2342-IC
E1904,C9739-ME,C8200-ME,C2547-CSE,C3900-EC,C9896-ME,C7151-ME,C2642-ME,C4070-CH,C6525-EE,C8772-EE
E8974,C9225-IT,C9846-CSE,C7128-ME,C2996-ME,C1648-EC,C4695-ME,C9080-ME,C4852-CH,C5602-EE,C8198-EE
E2018,C8852-CSE,C6301-ME,C6073-EC,C9080-EC,C2165-ME,C2558-ME,C8772-ME,C5132-ICT,C9277-IC,C9080-ICT
E5895,C5019-CSE,C3971-ME,C5049-CSE,C3998-EC,C2921-EC,C2165-EC,C2921-ME,C2051-CH,C7071-ICT,C5989-IC
E0055,C9080-ME,C6301-ME,C2996-ME,C2921-ME,C5848-ME,C1902-ME,C9038-EC,C8772-EE,C8426-EE,C9670-EE
E4431,C6679-IT,C8743-ME,C8743-ME,C2062-EC,C5019-ME,C4650-ME,C1648-ME,C2996-ICT,C5207-ICT,C1282-CH
E4385,C4515-IT,C7466-ME,C5989-CSE,C4000-EC,C9557-ME,C5602-ME,C8772-ME,C7128-CH,C5717-IC,C6679-ICT
E9680,C5019-ME,C4922-ME,C7151-ME,C4083-EC,C5588-ME,C9739-ME,C9670-ME,C1902-IC,C8813-ICT,C3998-EE
E6216,C6706-CSE,C2165-ME,C7128-ME,C4650-ME,C8772-ME,C9356-ME,C4070-EC,C9769-IC,C6706-EE,C7466-CH
E1637,C2511-ME,C9557-CSE,C7479-IT,C4566-ME,C2921-ME,C1648-EC,C9557-ME,C9038-EE,C9225-EE,C9557-EE
E8693,C6792-IT,C9080-CSE,C9038-EC,C9356-ME,C7151-EC,C3232-ME,C2000-ME,C6792-CH,C9557-EE,C5479-EE
E8469,C8200-ME,C5302-CSE,C9670-ME,C7071-ME,C2511-ME,C4922-EC,C4650-EC,C7128-ICT,C8203-EE,C6792-CH
E9364,C9670-CSE,C8203-IT,C9277-ME,C5583-ME,C5019-EC,C6706-ME,C9769-EC,C4000-EE,C3232-CH,C5989-ICT
E8817,C5479-CSE,C8405-ME,C8203-EC,C9670-ME,C2062-EC,C8743-ME,C1961-ME,C9225-EE,C9277-EE,C9120-CH
E9234,C5602-ME,C2458-IT,C9739-IT,C1648-ME,C2342-EC,C2458-EC,C2062-ME,C1902-EE,C6416-IC,C3397-IC
E3441,C8203-IT,C3900-ME,C3973-IT,C2642-EC,C4885-EC,C8203-EC,C4650-ME,C1899-CH,C8203-IC,C9080-IC
E4792,C1282-IT,C1899-ME,C3232-CSE,C3998-EC,C8405-EC,C8772-EC,C9277-ME,C3799-CH,C8611-ICT,C5479-ICT
E7162,C7951-CSE,C3998-IT,C6679-IT,C9277-EC,C8772-ME,C5302-EC,C2547-ME,C7906-EE,C3232-CH,C2921-EE
E1254,C9896-IT,C8611-IT,C5302-ME,C7343-ME,C4953-EC,C5532-ME,C7479-ME,C4070-CH,C8813-ICT,C6679-ICT
E6944,C9416-CSE,C7479-ME,C1961-IT,C4953-EC,C4953-ME,C4953-EC,C2921-EC,C5132-IC,C8813-ICT,C8405-EE
E4886,C1282-ME,C5019-IT,C6706-IT,C4922-ME,C2558-EC,C1899-ME,C5602-ME,C6416-EE,C9080-EE,C7343-EE
E6802,C5717-CSE,C5583-IT,C7937-CSE,C7343-ME,C2996-EC,C9751-ME,C4922-ME,C7466-IC,C8743-ICT,C6706-IC
E3825,C9846-ME,C9751-ME,C5717-CSE,C8198-ME,C7937-EC,C4070-EC,C8813-EC,C7479-EE,C3900-EE,C9277-CH
E8589,C7151-ME,C9080-CSE,C6416-CSE,C3232-EC,C6792-EC,C9143-ME,C4083-EC,C2002-ICT,C6416-EE,C2458-IC
E9594,C5019-IT,C8200-ME,C5049-CSE,C4650-ME,C7343-ME,C9739-ME,C9751-EC,C4852-EE,C6679-ICT,C1282-IC
E9660,C5848-IT,C4070-CSE,C1648-EC,C5583-EC,C8611-ME,C7748-EC,C9751-EC,C5989-ICT,C2062-IC,C9590-CH
E4969,C3305-CSE,C7479-ME,C1648-ME,C9751-EC,C3971-ME,C6525-EC,C3998-EC,C4885-ICT,C2558-IC,C5132-EE
E8483,C3998-ME,C8203-IT,C6706-EC,C8405-EC,C5989-ME,C5588-ME,C4083-EC,C5717-ICT,C8611-EE,C2002-ICT
E1482,C6301-CSE,C3973-ME,C3397-EC,C8611-ME,C5848-ME,C9356-EC,C6525-EC,C9277-ICT,C5049-CH,C9356-IC
E6917,C4922-CSE,C6525-ME,C1648-ME,C6706-EC,C2996-ME,C5049-ME,C8813-EC,C5019-ICT,C8743-EE,C5479-EE
E8219,C1282-ME,C8611-CSE,C8198-ME,C2547-ME,C4953-EC,C8772-EC,C7134-ME,C3799-ICT,C8852-CH,C9557-IC
E8949,C3305-ME,C7128-CSE,C2000-ME,C8743-EC,C2165-ME,C2642-EC,C4083-EC,C8743-IC,C4566-CH,C1902-IC
E5464,C7151-IT,C9590-IT,C2558-EC,C2921-ME,C9751-ME,C7906-ME,C6073-ME,C3971-IC,C2921-ICT,C9120-IC
E6511,C4070-ME,C8852-CSE,C5019-ME,C1902-EC,C7071-ME,C4953-ME,C4650-EC,C9225-EE,C6679-ICT,C8426-CH
E0321,C4695-ME,C6706-IT,C2558-ME,C5049-ME,C8200-EC,C1648-ME,C6698-ME,C8852-ICT,C7071-IC,C3900-CH
E9141,C5049-IT,C7134-IT,C9590-IT,C6073-EC,C6706-ME,C5602-ME,C2062-ME,C9590-IC,C2458-ICT,C9277-IC
E9665,C2000-IT,C3397-IT,C9557-CSE,C7071-ME,C7151-EC,C7071-ME,C5989-ME,C9277-EE,C8405-EE,C1674-ICT
E3943,C3799-CSE,C8403-CSE,C8203-IT,C9769-ME,C3971-EC,C4650-ME,C6792-ME,C9769-IC,C9225-ICT,C1961-ICT
E9695,C4922-IT,C8200-CSE,C4650-ME,C3900-ME,C2511-ME,C6525-EC,C7748-EC,C4000-CH,C2165-ICT,C3799-ICT
E2384,C5588-IT,C9670-CSE,C5602-ME,C2000-ME,C2547-ME,C6073-ME,C6706-EC,C9277-CH,C7479-ICT,C7951-EE
E8278,C2062-ME,C9896-CSE,C3397-ME,C5532-ME,C7151-EC,C7906-ME,C1282-ME,C5049-CH,C5724-CH,C4070-IC
E9746,C6301-IT,C9557-CSE,C5602-EC,C3971-EC,C5602-ME,C1899-ME,C7151-ME,C1899-EE,C9356-ICT,C2547-ICT
E6373,C7071-CSE,C6301-ME,C6301-ME,C6073-ME,C1282-ME,C7071-ME,C1745-EC,C8813-ICT,C7479-EE,C6525-EE
