Enrollmentno,sub1,sub2,sub3,sub4,sub5,Total,Rank
E5654,56,89,64,96,69,374,2794
E0003,93,59,65,83,74,374,2795
E4147,72,82,86,84,50,374,2796
E0260,96,47,87,80,64,374,2797
E3650,77,88,67,63,79,374,2798
E9529,86,65,65,99,59,374,2799
E1108,57,100,67,72,78,374,2800
E9200,74,64,98,86,52,374,2801
E0009,44,69,85,95,81,374,2802
E1234,72,40,70,95,97,374,2803
E0472,73,80,58,71,92,374,2804
E3417,89,68,67,93,57,374,2805
E0995,72,98,90,70,44,374,2806
E2489,94,97,72,41,70,374,2807
E2121,76,74,81,93,50,374,2808
E1911,91,47,66,99,71,374,2809
E8780,80,79,97,78,40,374,2810
E3190,79,98,42,72,83,374,2811
E5207,49,95,62,80,88,374,2812
E8285,90,81,48,74,81,374,2813
E2324,90,99,58,41,86,374,2814
E4657,93,95,75,49,62,374,2815
E8921,97,89,41,68,79,374,2816
E4384,100,53,41,98,82,374,2817
E9422,86,97,65,65,61,374,2818
E9583,98,98,91,47,40,374,2819
E3669,52,78,61,87,96,374,2820
E7239,67,69,69,91,78,374,2821
E1018,65,87,69,72,81,374,2822
E8447,85,100,59,52,78,374,2823
E2471,89,56,48,96,85,374,2824
E4327,58,95,74,72,75,374,2825
E1320,75,82,65,94,58,374,2826
E2962,94,63,66,75,76,374,2827
E7490,77,65,74,69,89,374,2828
E6405,64,80,88,83,59,374,2829
E2461,54,90,83,53,94,374,2830
E2347,65,94,57,86,72,374,2831
E0928,69,89,84,52,80,374,2832
E3708,70,84,65,91,64,374,2833
E8544,71,86,96,81,40,374,2834
E7916,52,69,88,91,74,374,2835
E1395,80,78,49,76,91,374,2836
E9161,87,79,93,48,67,374,2837
E0738,75,98,54,49,98,374,2838
E7100,99,100,71,53,51,374,2839
E0205,42,55,91,99,87,374,2840
E3985,100,79,55,96,44,374,2841
E3724,91,60,61,85,77,374,2842
E6589,81,78,69,64,82,374,2843
E7631,71,77,93,46,87,374,2844
E8179,99,60,50,70,95,374,2845
E0355,94,70,85,82,43,374,2846
E9560,84,84,51,67,88,374,2847
E6288,60,79,76,97,62,374,2848
E1249,98,86,58,49,83,374,2849
E7518,99,52,44,83,96,374,2850
E2329,99,93,54,57,71,374,2851
E3298,69,65,78,91,71,374,2852
E2829,71,58,92,54,99,374,2853
E9299,46,85,79,66,98,374,2854
E3836,83,98,61,65,67,374,2855
E9751,89,71,59,70,85,374,2856
E5105,82,50,99,97,46,374,2857
E9758,67,86,68,58,94,373,2858
E3258,51,89,49,86,98,373,2859
E2584,43,87,92,100,51,373,2860
E1761,79,78,91,74,51,373,2861
E7453,72,71,76,61,93,373,2862
E0395,77,70,100,51,75,373,2863
E8539,88,64,83,93,45,373,2864
E6688,42,90,91,96,54,373,2865
E1792,68,98,67,50,90,373,2866
E3467,59,84,83,70,77,373,2867
E3435,80,50,81,100,62,373,2868
E5531,67,89,67,71,79,373,2869
E0881,58,88,95,67,65,373,2870
E3705,75,87,57,86,68,373,2871
E5962,69,53,87,85,79,373,2872
E3813,91,95,74,52,61,373,2873
E0678,73,67,68,87,78,373,2874
E2765,100,77,57,72,67,373,2875
E4654,67,100,53,85,68,373,2876
E2948,81,85,77,57,73,373,2877
E3745,49,93,52,91,88,373,2878
E7448,40,94,76,75,88,373,2879
E9908,77,60,95,43,98,373,2880
E0162,93,98,52,89,41,373,2881
E3372,61,85,91,65,71,373,2882
E4413,51,64,97,68,93,373,2883
E6139,73,78,75,93,54,373,2884
E6378,81,40,72,90,90,373,2885
E7020,74,97,76,48,78,373,2886
E7599,82,93,63,87,48,373,2887
E4964,65,51,79,87,91,373,2888
E7063,92,69,80,58,74,373,2889
E2015,74,84,73,49,93,373,2890
E9789,80,65,69,81,78,373,2891
E6811,73,50,93,61,96,373,2892
E7353,77,55,89,94,58,373,2893
E8853,50,73,90,71,89,373,2894
E6131,82,60,60,91,80,373,2895
E2267,66,65,74,78,90,373,2896
E8936,58,56,78,95,86,373,2897
E8429,70,100,51,78,74,373,2898
E0719,70,99,50,96,58,373,2899
E9083,75,41,71,96,90,373,2900
E5740,95,88,46,79,65,373,2901
E7261,86,44,73,82,88,373,2902
E2900,93,68,55,64,93,373,2903
E9801,64,69,61,99,80,373,2904
E9264,71,59,80,66,97,373,2905
E1383,73,82,82,77,59,373,2906
E9946,78,93,67,64,71,373,2907
E7147,50,91,52,96,84,373,2908
E1572,62,95,87,67,62,373,2909
E0477,82,49,89,81,72,373,2910
E7595,91,87,72,82,41,373,2911
E6723,62,100,78,62,71,373,2912
E2055,59,67,91,58,98,373,2913
E4936,56,53,100,66,98,373,2914
E4598,97,91,74,70,41,373,2915
E5028,72,55,81,100,65,373,2916
E4092,73,47,73,84,96,373,2917
E4501,91,42,79,90,71,373,2918
E9976,88,69,48,81,87,373,2919
E5308,75,49,64,90,95,373,2920
E0072,75,57,88,57,96,373,2921
E6193,53,95,85,43,97,373,2922
E1448,79,87,84,54,69,373,2923
E4163,96,59,62,71,85,373,2924
E3950,55,83,71,65,99,373,2925
E2271,90,72,66,67,78,373,2926
E3158,57,83,94,53,86,373,2927
E5547,84,77,90,51,71,373,2928
E7537,64,83,48,91,87,373,2929
E5081,91,87,69,84,42,373,2930
E2903,79,61,86,54,93,373,2931
E8876,84,88,77,40,84,373,2932
E7437,47,77,88,65,96,373,2933
E6616,79,94,83,50,67,373,2934
E4115,50,83,98,48,94,373,2935
E6455,67,68,81,77,80,373,2936
E0417,92,56,66,84,75,373,2937
E8222,80,98,95,50,50,373,2938
E5107,41,95,62,79,96,373,2939
E5778,84,61,85,69,74,373,2940
E5394,66,80,70,68,88,372,2941
E0979,93,74,47,60,98,372,2942
E0851,96,60,99,40,77,372,2943
E8423,94,72,51,99,56,372,2944
E2653,86,55,73,87,71,372,2945
E5514,64,82,94,43,89,372,2946
E5878,59,93,92,75,53,372,2947
E9316,44,72,81,88,87,372,2948
E0509,47,82,99,92,52,372,2949
E2989,90,64,80,41,97,372,2950
E7878,95,95,60,65,57,372,2951
E6749,85,67,89,84,47,372,2952
E8016,88,91,53,75,65,372,2953
E9514,87,88,83,41,73,372,2954
E1120,94,67,78,84,49,372,2955
E7821,91,69,50,79,83,372,2956
E9691,100,71,77,64,60,372,2957
E2570,75,97,84,51,65,372,2958
E6027,46,72,97,87,70,372,2959
E3607,49,97,56,71,99,372,2960
E7894,55,49,77,96,95,372,2961
E0874,45,93,58,96,80,372,2962
E5947,59,52,100,67,94,372,2963
E7729,94,58,44,90,86,372,2964
E3245,70,40,74,100,88,372,2965
E7432,95,77,67,91,42,372,2966
E2170,62,68,90,64,88,372,2967
E9745,86,68,84,94,40,372,2968
E9443,94,95,70,44,69,372,2969
E9226,77,65,94,74,62,372,2970
E5076,60,61,72,85,94,372,2971
E6961,78,99,41,97,57,372,2972
E9820,84,47,74,79,88,372,2973
E8321,77,48,95,66,86,372,2974
E8000,93,52,84,76,67,372,2975
E1315,70,41,100,90,71,372,2976
E9995,70,85,86,52,79,372,2977
E5971,100,58,76,70,68,372,2978
E4695,46,98,78,78,72,372,2979
E3683,97,94,57,78,46,372,2980
E6669,62,73,53,84,100,372,2981
E9408,97,92,70,52,61,372,2982
E2291,81,65,73,77,76,372,2983
E3585,71,51,88,74,88,372,2984
E8076,72,45,96,61,98,372,2985
E3300,69,64,80,74,85,372,2986
E6772,61,83,66,79,83,372,2987
E6884,92,52,95,85,48,372,2988
E4393,62,89,88,85,48,372,2989
E4427,40,73,96,95,68,372,2990
E2914,70,43,91,85,83,372,2991
E1155,88,59,74,69,82,372,2992
E5073,90,53,87,97,45,372,2993
E8019,91,79,50,100,52,372,2994
E9195,53,80,97,65,77,372,2995
E7246,96,94,89,50,43,372,2996
E8904,71,48,100,69,84,372,2997
E7435,92,51,57,96,76,372,2998
E3021,44,97,62,88,81,372,2999
E6298,89,66,74,96,47,372,3000
E8049,77,86,84,51,74,372,3001
E6402,46,80,88,81,77,372,3002
E8062,64,84,62,67,95,372,3003
E1782,86,69,61,96,60,372,3004
E4013,77,66,98,78,53,372,3005
E2875,45,80,87,100,60,372,3006
E8098,76,88,77,88,43,372,3007
E0635,74,91,51,66,90,372,3008
E9543,85,81,90,44,72,372,3009
E0885,67,72,66,97,70,372,3010
E5554,65,63,87,94,63,372,3011
E9565,66,68,94,66,78,372,3012
E9701,91,64,43,83,91,372,3013
E3399,86,77,41,91,77,372,3014
E1841,77,68,48,86,93,372,3015
E0695,99,98,68,64,43,372,3016
E5281,77,64,94,78,59,372,3017
E1334,96,60,53,69,94,372,3018
E0315,73,54,95,64,86,372,3019
E8415,93,55,84,94,46,372,3020
E2810,79,43,82,71,97,372,3021
E9714,89,54,92,85,52,372,3022
E1035,100,48,83,93,48,372,3023
E6725,85,53,63,77,94,372,3024
E6358,59,79,98,93,43,372,3025
E4414,74,70,63,91,74,372,3026
E6727,77,67,86,43,99,372,3027
E3326,97,75,52,90,58,372,3028
E0742,82,43,93,100,54,372,3029
E5181,46,89,81,74,82,372,3030
E6023,41,71,83,87,90,372,3031
E7882,92,52,45,86,97,372,3032
E9174,98,82,52,69,71,372,3033
E7484,41,54,99,86,92,372,3034
E2025,67,78,62,73,91,371,3035
E5699,87,88,93,41,62,371,3036
E7877,86,73,67,72,73,371,3037
E1111,55,81,85,63,87,371,3038
E3892,95,97,57,65,57,371,3039
E8181,91,55,57,87,81,371,3040
E3934,59,89,72,74,77,371,3041
E0675,71,74,90,49,87,371,3042
E3581,54,88,97,68,64,371,3043
E3511,79,51,65,79,97,371,3044
E4099,90,63,59,76,83,371,3045
E1714,80,71,95,65,60,371,3046
E9276,49,64,92,78,88,371,3047
E4692,87,58,85,68,73,371,3048
E9684,48,76,55,94,98,371,3049
E2093,76,91,86,69,49,371,3050
E6887,76,75,97,54,69,371,3051
E6613,71,78,100,77,45,371,3052
E9353,90,64,88,60,69,371,3053
E5663,65,60,69,95,82,371,3054
E1446,63,89,90,83,46,371,3055
E6302,85,69,73,53,91,371,3056
E4663,91,88,96,56,40,371,3057
E9719,56,100,93,75,47,371,3058
E0613,89,58,87,80,57,371,3059
E4982,100,89,59,80,43,371,3060
E6821,95,77,61,68,70,371,3061
E5530,50,66,93,89,73,371,3062
E8241,71,65,81,92,62,371,3063
E3992,62,76,98,42,93,371,3064
E1055,77,84,88,55,67,371,3065
E4601,65,61,99,90,56,371,3066
E5358,99,87,50,55,80,371,3067
E2717,78,69,47,83,94,371,3068
E1057,96,88,47,55,85,371,3069
E1394,50,75,78,96,72,371,3070
E4243,65,95,54,100,57,371,3071
E5587,83,84,59,91,54,371,3072
E4899,59,63,89,93,67,371,3073
E5118,67,89,63,71,81,371,3074
E3385,48,88,90,89,56,371,3075
E9512,54,100,71,68,78,371,3076
E7101,97,50,57,93,74,371,3077
E1039,87,57,81,88,58,371,3078
E0379,80,84,67,90,50,371,3079
E8013,68,47,96,74,86,371,3080
E8643,70,61,57,99,84,371,3081
E3798,86,93,63,80,49,371,3082
E9015,54,100,86,62,69,371,3083
E8717,50,71,75,98,77,371,3084
E1855,100,44,77,58,92,371,3085
E6035,80,82,40,92,77,371,3086
E5982,84,49,94,85,59,371,3087
E5795,78,86,80,85,42,371,3088
E4106,66,73,55,89,88,371,3089
E9850,80,51,57,88,95,371,3090
E9260,72,96,56,73,74,371,3091
E9625,74,69,65,82,81,371,3092
E5347,51,97,74,99,50,371,3093
E8051,56,57,99,71,88,371,3094
E3259,93,48,40,100,90,371,3095
E9086,55,89,58,92,77,371,3096
E8975,96,71,51,82,71,371,3097
E5549,68,95,58,89,61,371,3098
E1080,95,40,66,98,72,371,3099
E0849,80,87,71,50,83,371,3100
E3486,71,81,75,47,97,371,3101
E2544,89,86,79,48,69,371,3102
E5868,92,66,80,91,42,371,3103
E5065,91,90,53,66,71,371,3104
E8594,54,80,86,69,82,371,3105
E8696,93,96,42,43,97,371,3106
E6680,95,71,93,68,44,371,3107
E9621,53,87,93,54,84,371,3108
E5506,64,42,86,96,83,371,3109
E3359,73,85,90,52,71,371,3110
E5471,98,76,49,61,87,371,3111
E6868,56,78,97,83,57,371,3112
E4340,53,71,79,69,99,371,3113
E7492,86,89,52,51,93,371,3114
E4407,94,42,48,90,97,371,3115
E0958,69,67,74,68,93,371,3116
E6307,76,72,74,51,98,371,3117
E6048,80,48,77,66,100,371,3118
E1538,85,64,72,81,69,371,3119
E0850,55,48,85,97,86,371,3120
E1913,100,74,50,83,64,371,3121
E2608,71,86,83,91,40,371,3122
E1433,84,84,83,58,62,371,3123
E7735,58,72,89,93,59,371,3124
E6389,85,89,60,43,94,371,3125
E5176,83,80,78,58,72,371,3126
E0127,72,90,70,61,78,371,3127
E0491,62,99,72,90,48,371,3128
E6184,80,52,75,89,74,370,3129
E3785,72,49,86,67,96,370,3130
E0605,73,68,48,89,92,370,3131
E3655,56,93,69,76,76,370,3132
E9720,49,63,91,89,78,370,3133
E5516,86,82,60,92,50,370,3134
E4134,83,67,62,75,83,370,3135
E5169,52,91,84,92,51,370,3136
E9077,97,51,80,78,64,370,3137
E9522,100,74,83,68,45,370,3138
E5798,67,74,47,93,89,370,3139
E1445,57,59,93,78,83,370,3140
E7315,78,43,80,99,70,370,3141
E5808,89,63,81,54,83,370,3142
E2742,86,83,89,40,72,370,3143
E2982,99,50,73,72,76,370,3144
E6482,42,99,62,88,79,370,3145
E8647,73,96,46,79,76,370,3146
E2701,69,80,81,65,75,370,3147
E3160,74,61,79,90,66,370,3148
E0837,66,95,88,61,60,370,3149
E0980,93,77,60,98,42,370,3150
E5555,71,75,52,81,91,370,3151
E8250,47,81,88,60,94,370,3152
E9737,60,93,67,92,58,370,3153
E1970,73,59,44,96,98,370,3154
E5027,63,85,91,54,77,370,3155
E6282,99,69,52,89,61,370,3156
E1515,96,57,77,81,59,370,3157
E9563,78,58,72,88,74,370,3158
E9503,98,72,64,73,63,370,3159
E0727,56,84,91,51,88,370,3160
E2927,67,86,93,77,47,370,3161
E3222,67,88,79,52,84,370,3162
E5294,92,70,52,100,56,370,3163
E5472,57,65,100,86,62,370,3164
E4252,61,98,61,52,98,370,3165
E6581,73,98,89,70,40,370,3166
E3979,64,83,55,92,76,370,3167
E7645,48,91,52,82,97,370,3168
E1207,66,91,68,51,94,370,3169
E5925,91,55,96,52,76,370,3170
E0336,87,48,83,58,94,370,3171
E4799,71,84,97,68,50,370,3172
E4491,85,95,51,89,50,370,3173
E3605,77,85,90,71,47,370,3174
E6953,44,94,75,90,67,370,3175
E4228,80,65,91,51,83,370,3176
E1852,48,49,86,90,97,370,3177
E3145,97,64,76,42,91,370,3178
E3094,84,90,94,46,56,370,3179
E8540,61,57,99,84,69,370,3180
E5986,70,49,84,77,90,370,3181
E0815,49,95,83,88,55,370,3182
E6128,94,62,90,49,75,370,3183
E7706,75,100,71,62,62,370,3184
E4206,83,82,89,65,51,370,3185
E9281,96,80,94,48,52,370,3186
E2710,41,100,49,86,94,370,3187
E0368,64,78,61,80,87,370,3188
E5803,96,77,47,69,81,370,3189
E7627,99,73,62,64,72,370,3190
E3460,93,73,58,84,62,370,3191
E1799,82,93,54,96,45,370,3192
E1706,60,52,87,79,92,370,3193
E2668,59,98,63,71,79,370,3194
E3782,75,59,91,89,56,370,3195
E2549,80,97,87,66,40,370,3196
E7691,63,78,69,84,76,370,3197
E6099,85,43,91,63,88,370,3198
E5662,90,55,78,98,49,370,3199
E7317,89,44,68,69,100,370,3200
E3030,100,62,60,48,100,370,3201
E2583,85,53,96,84,52,370,3202
E3321,85,98,42,56,88,369,3203
E2338,76,55,98,98,42,369,3204
E5095,76,45,89,100,59,369,3205
E6369,90,65,74,91,49,369,3206
E0073,91,57,43,93,85,369,3207
E3065,65,48,63,94,99,369,3208
E4124,69,48,78,88,86,369,3209
E5403,63,76,92,92,46,369,3210
E3828,86,83,76,79,45,369,3211
E9598,65,93,48,90,73,369,3212
E2548,48,83,52,86,100,369,3213
E5919,75,100,52,48,94,369,3214
E2816,86,76,52,68,87,369,3215
E7171,85,53,80,65,86,369,3216
E1305,62,51,89,70,97,369,3217
E3146,57,60,92,76,84,369,3218
E4128,67,51,90,90,71,369,3219
E6807,64,51,71,97,86,369,3220
E4127,85,67,67,96,54,369,3221
E6699,98,41,86,96,48,369,3222
E0713,100,73,82,63,51,369,3223
E0071,56,82,92,66,73,369,3224
E7667,78,81,77,76,57,369,3225
E4715,57,70,67,91,84,369,3226
E9493,65,72,55,93,84,369,3227
E4493,68,81,95,73,52,369,3228
E2019,53,96,63,74,83,369,3229
E5386,46,65,94,87,77,369,3230
E3312,74,83,84,57,71,369,3231
E1904,45,99,91,92,42,369,3232
E8974,68,99,45,64,93,369,3233
E2018,58,85,94,72,60,369,3234
E5895,93,60,89,68,59,369,3235
E0055,81,77,77,67,67,369,3236
E4431,74,85,46,65,99,369,3237
E4385,84,74,93,40,78,369,3238
E9680,61,74,49,91,94,369,3239
E6216,74,98,62,90,45,369,3240
E1637,67,71,87,62,82,369,3241
E8693,88,82,98,59,42,369,3242
E8469,99,64,42,65,99,369,3243
E9364,49,65,100,88,67,369,3244
E8817,83,40,78,70,98,369,3245
E9234,87,95,70,69,48,369,3246
E3441,68,85,76,40,100,369,3247
E4792,99,51,97,48,74,369,3248
E7162,43,98,47,81,100,369,3249
E1254,66,90,71,88,54,369,3250
E6944,71,89,80,51,78,369,3251
E4886,89,94,97,47,42,369,3252
E6802,64,93,66,66,80,369,3253
E3825,72,85,100,49,63,369,3254
E8589,76,41,86,68,98,369,3255
E9594,40,85,96,62,86,369,3256
E9660,63,55,85,100,66,369,3257
E4969,61,95,99,69,45,369,3258
E8483,62,76,76,78,77,369,3259
E1482,54,94,89,70,62,369,3260
E6917,70,82,77,78,62,369,3261
E8219,99,59,77,43,91,369,3262
E8949,78,63,76,84,68,369,3263
E5464,70,42,98,75,84,369,3264
E6511,93,45,85,53,93,369,3265
E0321,90,51,94,51,83,369,3266
E9141,78,83,63,61,84,369,3267
E9665,74,71,42,91,91,369,3268
E3943,78,82,43,91,75,369,3269
E9695,89,81,57,88,54,369,3270
E2384,86,62,81,50,90,369,3271
E8278,89,57,77,93,53,369,3272
E9746,77,97,54,47,94,369,3273
E6373,100,45,79,62,83,369,3274
E8186,84,53,97,47,88,369,3275
E9347,41,92,94,55,87,369,3276
E6576,99,76,65,52,77,369,3277
E7531,77,62,77,89,64,369,3278
E9729,58,96,43,74,98,369,3279
E5320,96,53,69,55,96,369,3280
E7694,54,67,100,74,74,369,3281
E1067,49,97,52,82,89,369,3282
E9456,92,61,79,73,64,369,3283
E4324,45,84,96,95,49,369,3284
E3039,52,87,98,40,92,369,3285
E7495,63,90,86,55,75,369,3286
E0392,94,92,48,42,93,369,3287
E3411,71,93,72,90,43,369,3288
E2984,49,81,88,87,64,369,3289
E0371,72,99,57,41,100,369,3290
E9474,65,57,58,91,98,369,3291
E0612,73,72,76,97,51,369,3292
E7813,48,54,95,93,79,369,3293
E7087,94,95,67,68,45,369,3294
E9024,47,91,84,60,87,369,3295
E4528,53,88,97,40,91,369,3296
E5503,99,51,61,92,66,369,3297
E4091,52,81,50,96,90,369,3298
E7828,49,92,100,79,49,369,3299
E0748,41,83,63,94,88,369,3300
E6602,88,42,64,99,76,369,3301
E9642,59,55,91,97,67,369,3302
E3776,54,84,100,52,79,369,3303
E3686,73,53,55,95,93,369,3304
E0381,86,99,40,72,72,369,3305
E4711,48,78,90,52,100,368,3306
E0731,78,71,97,71,51,368,3307
E2498,74,78,79,41,96,368,3308
E0639,62,73,85,84,64,368,3309
E2368,80,96,47,88,57,368,3310
E2760,84,88,43,90,63,368,3311
E3212,90,62,55,89,72,368,3312
E8120,85,58,83,61,81,368,3313
E6198,91,99,54,81,43,368,3314
E1619,63,55,63,87,100,368,3315
E8640,65,77,79,61,86,368,3316
E9178,97,65,86,80,40,368,3317
E1917,80,52,92,92,52,368,3318
E4707,66,87,99,46,70,368,3319
E1849,53,54,87,79,95,368,3320
E3031,89,100,41,92,46,368,3321
E9981,80,50,89,90,59,368,3322
E0153,81,78,72,88,49,368,3323
E3600,40,84,91,73,80,368,3324
E1996,86,79,42,77,84,368,3325
E2834,61,57,92,81,77,368,3326
E9799,80,85,47,79,77,368,3327
E1636,93,57,61,91,66,368,3328
E5026,56,91,48,100,73,368,3329
E4565,87,47,70,98,66,368,3330
E8300,56,90,64,67,91,368,3331
E5279,77,79,77,85,50,368,3332
E2891,75,69,71,83,70,368,3333
E7109,59,90,57,91,71,368,3334
E8520,76,75,76,63,78,368,3335
E7529,93,47,60,82,86,368,3336
E5648,78,70,67,89,64,368,3337
E1264,55,49,95,70,99,368,3338
E7026,97,74,74,58,65,368,3339
E5362,56,94,63,88,67,368,3340
E8861,69,79,85,74,61,368,3341
E8969,66,75,81,88,58,368,3342
E5793,92,60,93,55,68,368,3343
E1650,66,58,89,95,60,368,3344
E1393,91,65,95,71,46,368,3345
E3622,44,56,84,90,94,368,3346
E9058,71,70,58,75,94,368,3347
E3449,80,93,84,67,44,368,3348
E8187,88,75,61,60,84,368,3349
E0047,43,67,76,83,99,368,3350
E3779,81,54,70,65,98,368,3351
E9349,87,46,96,41,98,368,3352
E9046,99,68,41,98,62,368,3353
E4332,92,65,90,80,41,368,3354
E6096,43,83,96,100,46,368,3355
E5239,96,65,69,58,80,368,3356
E1397,85,98,73,66,46,368,3357
E6911,81,75,56,80,76,368,3358
E2582,89,92,66,63,58,368,3359
E9692,49,55,69,97,98,368,3360
E1900,61,88,71,98,50,368,3361
E8361,61,94,53,99,61,368,3362
E7576,62,97,80,72,57,368,3363
E5603,84,40,79,97,68,368,3364
E6946,71,73,68,73,83,368,3365
E5874,55,68,82,98,65,368,3366
E6021,81,74,64,94,55,368,3367
E6293,64,43,83,84,94,368,3368
E4114,96,60,72,94,46,368,3369
E7573,75,79,40,94,80,368,3370
E1236,54,61,81,86,86,368,3371
E9230,57,77,83,100,51,368,3372
E8562,92,47,57,81,91,368,3373
E0453,100,43,56,71,98,368,3374
E4803,80,45,67,89,87,368,3375
E4450,89,71,47,85,76,368,3376
E3667,55,85,97,57,74,368,3377
E7423,46,85,84,59,94,368,3378
E4512,47,74,72,79,96,368,3379
E9055,77,70,65,76,80,368,3380
E2327,96,100,66,48,58,368,3381
E6138,89,57,74,81,67,368,3382
E4587,90,65,68,88,57,368,3383
E5644,98,70,50,83,67,368,3384
E7811,85,76,91,57,58,367,3385
E6977,55,63,84,73,92,367,3386
E1293,90,50,87,85,55,367,3387
E8943,95,96,47,80,49,367,3388
E1272,40,87,73,92,75,367,3389
E1755,95,92,61,67,52,367,3390
E5229,50,85,79,77,76,367,3391
E8213,81,59,58,99,70,367,3392
E1074,86,41,75,76,89,367,3393
E6777,45,81,70,96,75,367,3394
E8436,48,79,59,82,99,367,3395
E8170,64,60,80,69,94,367,3396
E2273,87,48,85,47,100,367,3397
E4521,42,82,75,70,98,367,3398
E6073,65,95,100,45,62,367,3399
E0501,93,82,59,48,85,367,3400
E2674,93,62,53,75,84,367,3401
E3717,73,80,56,78,80,367,3402
E4492,90,52,72,65,88,367,3403
E7855,57,74,94,98,44,367,3404
E0953,94,85,55,45,88,367,3405
E1294,65,44,93,99,66,367,3406
E2770,97,77,55,47,91,367,3407
E3412,85,66,53,84,79,367,3408
E1654,99,54,90,54,70,367,3409
E1789,90,86,52,62,77,367,3410
E1686,60,78,88,78,63,367,3411
E7563,74,47,86,75,85,367,3412
E0268,63,85,69,69,81,367,3413
E1106,65,99,53,74,76,367,3414
E3656,99,99,46,64,59,367,3415
E5626,90,77,74,71,55,367,3416
E6014,84,91,62,66,64,367,3417
E8193,78,63,86,62,78,367,3418
E2892,92,70,95,41,69,367,3419
E5044,81,94,72,74,46,367,3420
E9381,69,69,97,71,61,367,3421
E4378,94,71,50,76,76,367,3422
E2543,81,66,96,51,73,367,3423
E5290,92,69,68,65,73,367,3424
E2735,91,66,75,72,63,367,3425
E3624,79,91,48,61,88,367,3426
E5910,68,72,52,91,84,367,3427
E3398,78,68,59,80,82,367,3428
E8633,100,84,57,71,55,367,3429
E7390,90,77,71,44,85,367,3430
E5210,94,79,40,64,90,367,3431
E5116,69,90,51,77,80,367,3432
E5264,83,92,65,49,78,367,3433
E7779,89,84,56,94,44,367,3434
E9442,63,42,72,90,100,367,3435
E5456,95,61,77,41,93,367,3436
E3910,92,73,54,60,88,367,3437
E2884,80,78,41,73,95,367,3438
E4399,86,55,55,93,78,367,3439
E5836,89,84,67,51,76,367,3440
E3456,71,99,80,64,53,367,3441
E6677,64,60,70,78,95,367,3442
E2567,97,87,76,61,46,367,3443
E7166,92,77,89,52,57,367,3444
E5321,47,99,41,83,97,367,3445
E0516,65,96,76,41,89,367,3446
E2459,61,66,75,81,84,367,3447
E1286,46,95,77,82,67,367,3448
E6055,85,62,87,56,77,367,3449
E6350,87,45,43,97,95,367,3450
E1786,81,95,53,59,79,367,3451
E7571,88,98,53,81,47,367,3452
E3490,96,46,99,44,82,367,3453
E0189,77,56,88,68,78,367,3454
E7050,86,93,53,66,69,367,3455
E2345,55,85,98,84,45,367,3456
E7469,70,92,43,64,98,367,3457
E1580,58,99,78,77,55,367,3458
E7677,59,93,44,77,94,367,3459
E2551,58,93,98,51,67,367,3460
E9126,73,68,76,67,82,366,3461
E3721,76,90,78,61,61,366,3462
E3466,42,77,89,81,77,366,3463
E8842,85,92,40,88,61,366,3464
E3276,60,73,94,43,96,366,3465
E6775,63,57,56,91,99,366,3466
E7590,62,75,89,63,77,366,3467
E9561,71,59,64,99,73,366,3468
E8302,96,47,67,65,91,366,3469
E0653,87,70,94,63,52,366,3470
E1014,68,81,68,64,85,366,3471
E8080,80,72,82,56,76,366,3472
E1396,56,88,60,86,76,366,3473
E3647,83,53,85,85,60,366,3474
E6766,96,53,90,69,58,366,3475
E2135,91,80,74,55,66,366,3476
E3879,69,45,88,88,76,366,3477
E0932,46,92,91,64,73,366,3478
E9328,53,56,92,97,68,366,3479
E0588,88,62,71,96,49,366,3480
E6316,88,67,55,68,88,366,3481
E9972,63,95,69,87,52,366,3482
E0674,94,64,87,47,74,366,3483
E3074,64,70,99,49,84,366,3484
E0345,59,94,59,79,75,366,3485
E3649,73,70,64,65,94,366,3486
E7653,47,93,95,87,44,366,3487
E8698,45,71,96,83,71,366,3488
E5593,68,89,88,49,72,366,3489
E4000,93,65,69,73,66,366,3490
E6857,79,72,55,96,64,366,3491
E1150,74,61,45,94,92,366,3492
E1162,58,76,94,90,48,366,3493
E7187,94,76,79,52,65,366,3494
E8237,75,77,92,60,62,366,3495
E0587,89,63,60,83,71,366,3496
E6905,92,57,57,94,66,366,3497
E2097,43,86,83,73,81,366,3498
E7067,49,84,78,93,62,366,3499
E5683,46,98,68,88,66,366,3500
E0045,43,95,91,83,54,366,3501
E8584,100,63,60,44,99,366,3502
E8803,63,74,93,56,80,366,3503
E3407,76,59,78,66,87,366,3504
E4580,53,95,95,68,55,366,3505
E2767,72,92,66,85,51,366,3506
E9062,65,47,97,100,57,366,3507
E9021,83,53,43,89,98,366,3508
E3139,79,77,69,55,86,366,3509
E6763,77,94,61,85,49,366,3510
E2513,88,75,60,83,60,366,3511
E8165,60,76,47,96,87,366,3512
E0615,86,90,75,49,66,366,3513
E1871,82,79,59,80,66,366,3514
E2153,46,92,96,69,63,366,3515
E7269,46,86,51,85,98,366,3516
E2062,77,83,42,99,65,366,3517
E7370,70,90,61,99,46,366,3518
E6204,76,72,79,81,58,366,3519
E1322,85,96,60,60,65,366,3520
E6846,52,95,74,93,52,366,3521
E5205,73,53,73,78,89,366,3522
E5659,69,88,91,40,78,366,3523
E2615,56,76,84,72,78,366,3524
E3930,64,71,97,63,71,366,3525
E1933,67,65,87,95,52,366,3526
E2950,86,69,96,43,72,366,3527
E7635,65,54,89,73,85,366,3528
